entity_id,state,last_changed
sensor.153931628473058_total_energy_consumption,1349.16,2026-03-19T19:34:45.178Z
sensor.153931628473058_total_energy_consumption,1349.17,2026-03-19T19:35:18.517Z
sensor.153931628473058_total_energy_consumption,1349.19,2026-03-19T19:35:51.750Z
sensor.153931628473058_total_energy_consumption,1349.2,2026-03-19T19:36:25.171Z
sensor.153931628473058_total_energy_consumption,1349.21,2026-03-19T19:36:58.427Z
sensor.153931628473058_total_energy_consumption,1349.22,2026-03-19T19:37:31.629Z
sensor.153931628473058_total_energy_consumption,1349.23,2026-03-19T19:38:04.849Z
sensor.153931628473058_total_energy_consumption,1349.24,2026-03-19T19:38:38.091Z
sensor.153931628473058_total_energy_consumption,1349.25,2026-03-19T19:39:12.313Z
sensor.153931628473058_total_energy_consumption,1349.27,2026-03-19T19:39:45.487Z
sensor.153931628473058_total_energy_consumption,1349.28,2026-03-19T19:40:18.713Z
sensor.153931628473058_total_energy_consumption,1349.29,2026-03-19T19:40:51.900Z
sensor.153931628473058_total_energy_consumption,1349.3,2026-03-19T19:41:25.181Z
sensor.153931628473058_total_energy_consumption,1349.31,2026-03-19T19:41:58.403Z
sensor.153931628473058_total_energy_consumption,1349.32,2026-03-19T19:42:31.708Z
sensor.153931628473058_total_energy_consumption,1349.33,2026-03-19T19:43:04.911Z
sensor.153931628473058_total_energy_consumption,1349.34,2026-03-19T19:43:38.085Z
sensor.153931628473058_total_energy_consumption,1349.36,2026-03-19T19:44:11.698Z
sensor.153931628473058_total_energy_consumption,1349.37,2026-03-19T19:44:45.151Z
sensor.153931628473058_total_energy_consumption,1349.38,2026-03-19T19:45:18.444Z
sensor.153931628473058_total_energy_consumption,1349.39,2026-03-19T19:45:51.616Z
sensor.153931628473058_total_energy_consumption,1349.4,2026-03-19T19:46:24.877Z
sensor.153931628473058_total_energy_consumption,1349.41,2026-03-19T19:46:58.088Z
sensor.153931628473058_total_energy_consumption,1349.42,2026-03-19T19:47:31.322Z
sensor.153931628473058_total_energy_consumption,1349.44,2026-03-19T19:48:04.523Z
sensor.153931628473058_total_energy_consumption,1349.45,2026-03-19T19:48:37.925Z
sensor.153931628473058_total_energy_consumption,1349.46,2026-03-19T19:49:11.156Z
sensor.153931628473058_total_energy_consumption,1349.47,2026-03-19T19:49:44.935Z
sensor.153931628473058_total_energy_consumption,1349.48,2026-03-19T19:50:18.258Z
sensor.153931628473058_total_energy_consumption,1349.49,2026-03-19T19:50:51.670Z
sensor.153931628473058_total_energy_consumption,1349.5,2026-03-19T19:51:24.918Z
sensor.153931628473058_total_energy_consumption,1349.51,2026-03-19T19:51:58.191Z
sensor.153931628473058_total_energy_consumption,1349.53,2026-03-19T19:52:31.616Z
sensor.153931628473058_total_energy_consumption,1349.54,2026-03-19T19:53:05.000Z
sensor.153931628473058_total_energy_consumption,1349.55,2026-03-19T19:53:38.199Z
sensor.153931628473058_total_energy_consumption,1349.56,2026-03-19T19:54:12.141Z
sensor.153931628473058_total_energy_consumption,1349.57,2026-03-19T19:54:45.411Z
sensor.153931628473058_total_energy_consumption,1349.58,2026-03-19T19:55:18.632Z
sensor.153931628473058_total_energy_consumption,1349.6,2026-03-19T19:55:51.884Z
sensor.153931628473058_total_energy_consumption,1349.61,2026-03-19T19:56:26.208Z
sensor.153931628473058_total_energy_consumption,1349.62,2026-03-19T19:57:00.128Z
sensor.153931628473058_total_energy_consumption,1349.63,2026-03-19T19:57:33.290Z
sensor.153931628473058_total_energy_consumption,1349.64,2026-03-19T19:58:06.496Z
sensor.153931628473058_total_energy_consumption,1349.65,2026-03-19T19:58:39.754Z
sensor.153931628473058_total_energy_consumption,1349.67,2026-03-19T19:59:13.944Z
sensor.153931628473058_total_energy_consumption,1349.68,2026-03-19T19:59:47.251Z
sensor.153931628473058_total_energy_consumption,1349.69,2026-03-19T20:00:20.563Z
sensor.153931628473058_total_energy_consumption,1349.7,2026-03-19T20:00:53.866Z
sensor.153931628473058_total_energy_consumption,1349.71,2026-03-19T20:01:26.974Z
sensor.153931628473058_total_energy_consumption,1349.72,2026-03-19T20:02:00.205Z
sensor.153931628473058_total_energy_consumption,1349.73,2026-03-19T20:02:33.423Z
sensor.153931628473058_total_energy_consumption,1349.74,2026-03-19T20:03:06.590Z
sensor.153931628473058_total_energy_consumption,1349.76,2026-03-19T20:03:39.778Z
sensor.153931628473058_total_energy_consumption,1349.77,2026-03-19T20:04:14.022Z
sensor.153931628473058_total_energy_consumption,1349.78,2026-03-19T20:04:48.181Z
sensor.153931628473058_total_energy_consumption,1349.79,2026-03-19T20:05:21.375Z
sensor.153931628473058_total_energy_consumption,1349.8,2026-03-19T20:05:54.610Z
sensor.153931628473058_total_energy_consumption,1349.81,2026-03-19T20:06:27.936Z
sensor.153931628473058_total_energy_consumption,1349.82,2026-03-19T20:07:01.117Z
sensor.153931628473058_total_energy_consumption,1349.83,2026-03-19T20:07:34.317Z
sensor.153931628473058_total_energy_consumption,1349.85,2026-03-19T20:08:08.152Z
sensor.153931628473058_total_energy_consumption,1349.86,2026-03-19T20:08:41.427Z
sensor.153931628473058_total_energy_consumption,1349.87,2026-03-19T20:09:14.738Z
sensor.153931628473058_total_energy_consumption,1349.88,2026-03-19T20:09:47.849Z
sensor.153931628473058_total_energy_consumption,1349.89,2026-03-19T20:10:21.135Z
sensor.153931628473058_total_energy_consumption,1349.9,2026-03-19T20:10:54.463Z
sensor.153931628473058_total_energy_consumption,1349.91,2026-03-19T20:11:27.572Z
sensor.153931628473058_total_energy_consumption,1349.92,2026-03-19T20:12:00.828Z
sensor.153931628473058_total_energy_consumption,1349.93,2026-03-19T20:12:34.108Z
sensor.153931628473058_total_energy_consumption,1349.94,2026-03-19T20:13:07.466Z
sensor.153931628473058_total_energy_consumption,1349.95,2026-03-19T20:13:40.580Z
sensor.153931628473058_total_energy_consumption,1349.97,2026-03-19T20:14:13.833Z
sensor.153931628473058_total_energy_consumption,1349.98,2026-03-19T20:14:47.192Z
sensor.153931628473058_total_energy_consumption,1349.99,2026-03-19T20:15:20.522Z
sensor.153931628473058_total_energy_consumption,1350.0,2026-03-19T20:15:53.634Z
sensor.153931628473058_total_energy_consumption,1350.01,2026-03-19T20:16:27.036Z
sensor.153931628473058_total_energy_consumption,1350.02,2026-03-19T20:17:00.886Z
sensor.153931628473058_total_energy_consumption,1350.03,2026-03-19T20:17:34.112Z
sensor.153931628473058_total_energy_consumption,1350.04,2026-03-19T20:18:07.378Z
sensor.153931628473058_total_energy_consumption,1350.05,2026-03-19T20:18:40.692Z
sensor.153931628473058_total_energy_consumption,1350.06,2026-03-19T20:19:14.004Z
sensor.153931628473058_total_energy_consumption,1350.07,2026-03-19T20:19:47.190Z
sensor.153931628473058_total_energy_consumption,1350.09,2026-03-19T20:20:20.449Z
sensor.153931628473058_total_energy_consumption,1350.1,2026-03-19T20:20:53.779Z
sensor.153931628473058_total_energy_consumption,1350.11,2026-03-19T20:21:27.019Z
sensor.153931628473058_total_energy_consumption,1350.12,2026-03-19T20:22:00.316Z
sensor.153931628473058_total_energy_consumption,1350.13,2026-03-19T20:22:33.572Z
sensor.153931628473058_total_energy_consumption,1350.14,2026-03-19T20:23:06.925Z
sensor.153931628473058_total_energy_consumption,1350.15,2026-03-19T20:23:40.243Z
sensor.153931628473058_total_energy_consumption,1350.16,2026-03-19T20:24:13.610Z
sensor.153931628473058_total_energy_consumption,1350.17,2026-03-19T20:24:46.904Z
sensor.153931628473058_total_energy_consumption,1350.18,2026-03-19T20:25:20.124Z
sensor.153931628473058_total_energy_consumption,1350.19,2026-03-19T20:25:53.332Z
sensor.153931628473058_total_energy_consumption,1350.21,2026-03-19T20:26:27.614Z
sensor.153931628473058_total_energy_consumption,1350.22,2026-03-19T20:27:00.868Z
sensor.153931628473058_total_energy_consumption,1350.23,2026-03-19T20:27:34.232Z
sensor.153931628473058_total_energy_consumption,1350.24,2026-03-19T20:28:07.439Z
sensor.153931628473058_total_energy_consumption,1350.25,2026-03-19T20:28:40.716Z
sensor.153931628473058_total_energy_consumption,1350.26,2026-03-19T20:48:41.758Z
sensor.153931628473058_total_energy_consumption,1350.27,2026-03-19T22:17:34.948Z
sensor.153931628473058_total_energy_consumption,1350.28,2026-03-19T22:18:08.191Z
sensor.153931628473058_total_energy_consumption,1350.29,2026-03-19T22:18:41.440Z
sensor.153931628473058_total_energy_consumption,1350.3,2026-03-19T22:19:14.686Z
sensor.153931628473058_total_energy_consumption,1350.31,2026-03-19T22:19:47.910Z
sensor.153931628473058_total_energy_consumption,1350.33,2026-03-19T22:20:21.250Z
sensor.153931628473058_total_energy_consumption,1350.34,2026-03-19T22:20:54.436Z
sensor.153931628473058_total_energy_consumption,1350.36,2026-03-19T22:21:27.609Z
sensor.153931628473058_total_energy_consumption,1350.37,2026-03-19T22:22:00.718Z
